"id","category","name","old_price","new_price","discount","deals","url"
"33","Kolekcje i sztuka","NOŻYCZKI NOŻYCE KRAWIECKIE TKANIN","159,00 zł","34,99 zł","-77%","70 osób kupiło","https://allegro.pl/oferta/nozyczki-nozyce-krawieckie-tkanin-9249336233"
"78","Kolekcje i sztuka","OZDOBNY MIECZ TEMPLARIUSZY Z ZAWIESZKĄ SW-601","699,00 zł","239,00 zł","-65%","3 osoby kupiły","https://allegro.pl/oferta/ozdobny-miecz-templariuszy-z-zawieszka-sw-601-8616140031"
"122","Kolekcje i sztuka","KULKI kapsułki SMAKOWE do papierosów ARBUZ 100szt","12,99 zł","8,99 zł","-30%","3 osoby kupiły","https://allegro.pl/oferta/kulki-kapsulki-smakowe-do-papierosow-arbuz-100szt-10508618615"
"136","Kolekcje i sztuka","KliKane Kulki Smakowe MIĘTOWE do papierosów","23,99 zł","15,00 zł","-37%","9 osób kupiło","https://allegro.pl/oferta/klikane-kulki-smakowe-mietowe-do-papierosow-9544745034"
"116","Kolekcje i sztuka","Elektryczna Maszynka do Papierosów Nabijarka Tytoń","69,90 zł","42,90 zł","-38%","41 osób kupiło","https://allegro.pl/oferta/elektryczna-maszynka-do-papierosow-nabijarka-tyton-9350318117"
"114","Kolekcje i sztuka","CLICK APLIKATOR kulki kapsułki do papierosów","29,99 zł","27,99 zł","-6%","8 osób kupiło","https://allegro.pl/oferta/click-aplikator-kulki-kapsulki-do-papierosow-10009787167"
"129","Kolekcje i sztuka","KULKI SMAKOWE do papierosów SUPER MIX MIĘTOWY 300","45,00 zł","29,99 zł","-33%","3 osoby kupiły","https://allegro.pl/oferta/kulki-smakowe-do-papierosow-super-mix-mietowy-300-9905233603"
"87","Kolekcje i sztuka","Dron RC Syma X8SW-D 2.4G 4CH FPV Wi-Fi 720p","511,00 zł","452,20 zł","-11%","","https://allegro.pl/oferta/dron-rc-syma-x8sw-d-2-4g-4ch-fpv-wi-fi-720p-10516834594"
"123","Kolekcje i sztuka","Kulki smakowe do papierosów MOCNA MIĘTA 100 szt.","14,99 zł","10,99 zł","-26%","22 osoby kupiły","https://allegro.pl/oferta/kulki-smakowe-do-papierosow-mocna-mieta-100-szt-9776060214"
"28","Kolekcje i sztuka","Dron F89 WiFi 2 Kamery Granatowy","599,00 zł","299,00 zł","wyprzedaż","13 osób kupiło","https://allegro.pl/oferta/dron-f89-wifi-2-kamery-granatowy-10456528091"
