"id","category","name","old_price","new_price","discount","deals","url"
"1","Kultura i rozrywka","Kochaj Regina Brett - w Zestawie z Torbą i Kubkiem","104,97 zł","54,99 zł","-47%","2 osoby kupiły","https://allegro.pl/events/clicks?emission_unit_id=9249f4a6-f0da-426e-99ae-729cbff57d07&emission_id=5b628aaf-ed21-4137-9e1e-65e60345e773&type=OFFER&ts=1617041551710&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fkochaj-regina-brett-w-zestawie-z-torba-i-kubkiem-8645556686%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DZDRkZTljMzMtODcwOC00NjNkLWEzZDctNmUxMTljMGY4ZWFiAA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=b6d3f71e3385422c7e241c9b031022a8"
"2","Kultura i rozrywka","Kurs Amazon FBA - Dla przedsiębiorców - książka","39,90 zł","19,90 zł","-50%","30 osób kupiło","https://allegro.pl/events/clicks?emission_unit_id=e7304848-24c3-4a22-a76e-5a3da3b10ec5&emission_id=5b628aaf-ed21-4137-9e1e-65e60345e773&type=OFFER&ts=1617041551710&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fkurs-amazon-fba-dla-przedsiebiorcow-ksiazka-9969313269%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DMTNiODcwNzgtZjQ5My00ZDQ1LTkzYzQtNmQ4NjZhOTc0ZmM1AA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=d4a3fd3c5052ed2806ee91eb3bbbcdb0"
"5","Kultura i rozrywka","Niewidzialni - Tomasz Awłasewicz","39,99 zł","26,29 zł","-34%","22 osoby kupiły","https://allegro.pl/oferta/niewidzialni-tomasz-awlasewicz-10449472103"
"7","Kultura i rozrywka","Życiodajna woda wodorowa","55,00 zł","44,00 zł","-20%","3 osoby kupiły","https://allegro.pl/oferta/zyciodajna-woda-wodorowa-10541086350"
"8","Kultura i rozrywka","ZESTAW KART UNO GRA TOWARZYSKA IMPREZOWA LOGICZNA","49,99 zł","9,99 zł","wyprzedaż","263 osoby kupiły","https://allegro.pl/oferta/zestaw-kart-uno-gra-towarzyska-imprezowa-logiczna-10481092387"
"11","Kultura i rozrywka","Kinect Sports Rivals XBOX ONE KEY + BONUS","70,10 zł","59,77 zł","wyprzedaż","48 osób kupiło","https://allegro.pl/oferta/kinect-sports-rivals-xbox-one-key-bonus-10126633035"
"13","Kultura i rozrywka","NOTES BIUROWY Notatnik Zeszyt w Linie CZERWONY","19,90 zł","15,90 zł","wyprzedaż","3 osoby kupiły","https://allegro.pl/events/clicks?emission_unit_id=7a380d11-f13d-4193-8547-84d26ebe2a7a&emission_id=5b628aaf-ed21-4137-9e1e-65e60345e773&type=OFFER&ts=1617041551710&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fnotes-biurowy-notatnik-zeszyt-w-linie-czerwony-10507078162%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DZTg5N2ViNGItNzliMi00ZjkwLWI3MTMtYWE4NTQ3N2EwMzAzAA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=d49ba0140744e097428182cda875c706"
"18","Kultura i rozrywka","PAKIET Litery Czytanie Sylaby Pisanie ZESZYTY","28,00 zł","20,00 zł","wyprzedaż","4 osoby kupiły","https://allegro.pl/oferta/pakiet-litery-czytanie-sylaby-pisanie-zeszyty-9913053321"
"19","Kultura i rozrywka","CHRISTINE Stephen King","10,50 zł","9,45 zł","wyprzedaż","17 osób kupiło","https://allegro.pl/oferta/christine-stephen-king-10494664107"
"20","Kultura i rozrywka","PAKIET ŚWIAT ZWIERZĄT I ENCYKLOPEDIA DLA DZIECI","49,90 zł","39,90 zł","wyprzedaż","1 osoba kupiła","https://allegro.pl/oferta/pakiet-swiat-zwierzat-i-encyklopedia-dla-dzieci-9918680552"
"22","Kultura i rozrywka","Bez śladu Nora Roberts","19,99 zł","12,99 zł","wyprzedaż","2 osoby kupiły","https://allegro.pl/oferta/bez-sladu-nora-roberts-10513506946"
"23","Kultura i rozrywka","CUKIERNIA POD AMOREM Cieślakowie tom 1 i 2","31,98 zł","19,00 zł","wyprzedaż","4 osoby kupiły","https://allegro.pl/oferta/cukiernia-pod-amorem-cieslakowie-tom-1-i-2-10504426713"
