"id","category","name","old_price","new_price","discount","deals","url"
"66","Dziecko","TRAMPOLINA OGRODOWA dla dzieci ĆWICZENIA ZABAWA","1500,00 zł","739,99 zł","-50%","75 osób kupiło","https://allegro.pl/oferta/trampolina-ogrodowa-dla-dzieci-cwiczenia-zabawa-10005542120"
"53","Dziecko","Termometr do ucha Braun IRT3030 Thermoscan 3","169,00 zł","117,55 zł","-30%","53 osoby kupiły","https://allegro.pl/oferta/termometr-do-ucha-braun-irt3030-thermoscan-3-9756371645"
"13","Dziecko","Termometr BEZDOTYKOWY NA PODCZERWIEŃ szybki pomiar","199,00 zł","41,99 zł","-78%","791 osób kupiło","https://allegro.pl/events/clicks?emission_unit_id=35dc9ffa-f821-43b4-847b-ec041c4169ce&emission_id=c4ecb653-23f6-4845-a3a7-b8f021a5ee50&type=OFFER&ts=1617120135364&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Ftermometr-bezdotykowy-na-podczerwien-szybki-pomiar-9888721505%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DNjUyMzRkYjItZjIxZS00NmJlLTliNWYtNWU5M2QxOWI4ZTQ5AA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=1c5e48875a43cce9642495ecfead49d1"
"161","Dziecko","Buty dziecięce Kappa Dalton K 260779K-6729","79,99 zł","77,00 zł","-3%","12 osób kupiło","https://allegro.pl/oferta/buty-dzieciece-kappa-dalton-k-260779k-6729-10528758574"
"81","Dziecko","Pościel 3D 160x200 + prześcieradło MIXWZORÓW","98,90 zł","49,49 zł","wyprzedaż","4 osoby kupiły","https://allegro.pl/oferta/posciel-3d-160x200-przescieradlo-mixwzorow-10126523771"
"72","Dziecko","PASTELOWA BALETNICA RÓŻE KWIATY NAKLEJKI NA ŚCIANĘ","99,00 zł","89,00 zł","-10%","1 osoba kupiła","https://allegro.pl/oferta/pastelowa-baletnica-roze-kwiaty-naklejki-na-sciane-10483231254"
"184","Dziecko","Zestaw Pulsoksymetr + Termometr Medyczny Pro","200,00 zł","89,99 zł","outlet","208 osób kupiło","https://allegro.pl/events/clicks?emission_unit_id=eea615b7-8e83-4482-a89e-0f05a4201bc7&emission_id=8d5ccea0-7186-4ab1-8ed8-ea09b21393c5&type=OFFER&ts=1617120138443&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fzestaw-pulsoksymetr-termometr-medyczny-pro-10231124866%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DODY0MjkzODYtMWMzNS00YjJmLWJjZDUtNWM2OTUzY2IzM2YzAA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=59eea2e1668db2e497254ab7eba4bce5"
"29","Dziecko","VITAMMY Smile Szczoteczka soniczna dla dzieci 3+","59,00 zł","35,55 zł","-39%","101 osób kupiło","https://allegro.pl/oferta/vitammy-smile-szczoteczka-soniczna-dla-dzieci-3-8630480569"
"45","Dziecko","Lalka Przytulanka Angela z Sukienkami z Imieniem","95,00 zł","85,00 zł","Smart! okazja","3 osoby kupiły","https://allegro.pl/oferta/lalka-przytulanka-angela-z-sukienkami-z-imieniem-9904370186"
"191","Dziecko","Buty dziecięce Kappa Furbo K 260776K-6011","79,00 zł","75,00 zł","-5%","6 osób kupiło","https://allegro.pl/oferta/buty-dzieciece-kappa-furbo-k-260776k-6011-10540656560"
